c/c++,java,python,wt,dbms,se,ds,algo,math,stats,project
4,2,5,4,3,3,4,3,5,3,Cloud
3,2,4,5,4,3,2,2,2,2,Cloud
2,1,4,2,3,3,3,2,3,2,Cloud
5,5,2,3,4,4,4,4,5,4,MA
5,1,3,5,5,4,4,3,5,5,WA
5,3,4,3,4,4,4,4,3,4,AI
3,2,1,3,2,2,2,2,2,2,WA
3,4,2,3,2,4,4,2,3,3,MA
4,2,5,2,3,4,4,4,5,4,AI
2,2,5,3,3,4,3,3,4,4,Cloud
3,5,3,1,3,3,3,4,5,3,Others
2,2,5,5,3,2,3,3,3,3,AI
3,2,3,4,3,2,3,2,4,3,WA
4,4,4,4,5,4,4,4,4,3,MA
4,1,4,5,3,2,4,3,5,5,MA
2,1,4,1,1,1,2,1,4,2,Others
4,5,3,4,4,4,4,4,5,4,MA
3,1,2,2,3,1,3,2,2,2,WA
4,3,1,2,3,5,3,3,4,4,AI
2,4,2,1,3,3,4,2,2,3,IP
2,1,4,5,3,2,3,3,3,3,WA
3,2,4,4,4,4,3,2,3,2,WA
1,1,1,1,1,1,1,2,2,2,WA
4,2,2,3,2,3,4,4,3,3,WA
4,3,3,4,3,2,3,3,2,1,Cloud
3,1,1,2,2,3,3,3,5,5,AI
2,1,2,1,2,1,2,3,3,4,Others
3,3,3,4,4,3,3,4,4,4,IP
4,5,3,2,4,5,5,3,4,3,AI
5,4,3,4,4,5,4,4,4,4,Others
3,1,5,5,5,4,4,4,3,3,WA
4,4,4,3,4,4,4,4,4,4,WA
5,5,3,5,5,3,4,4,4,3,WA
4,2,2,3,3,4,4,3,3,3,Others
3,2,2,4,3,5,3,4,3,2,Others
3,3,2,5,4,3,3,2,5,5,WA
5,4,3,2,1,4,5,2,4,3,IOT
2,2,2,3,2,3,2,2,3,3,IOT
3,2,3,5,4,4,3,2,5,4,WA
3,3,1,3,2,1,3,2,3,2,WA
2,2,4,3,4,3,3,3,1,2,WA
3,1,1,3,3,2,3,3,3,2,WA
4,3,4,3,4,4,4,3,4,2,AI
4,5,2,3,5,5,5,5,4,4,MA
3,5,3,4,4,5,4,4,3,2,WA
3,1,4,4,3,2,2,2,3,2,WA
3,2,2,3,3,3,3,3,3,3,WA
4,2,2,5,4,4,4,3,4,4,WA
3,2,2,3,2,2,3,4,4,4,Others
3,3,3,3,3,3,3,3,3,3,WA
3,3,3,3,3,3,3,3,3,3,IP
3,1,1,2,1,1,2,2,4,4,IOT
2,1,2,3,3,4,3,3,4,4,IOT
1,3,3,4,2,2,2,1,1,4,IOT
3,2,4,3,2,2,2,2,4,3,WA
3,2,1,1,1,2,3,1,4,4,MA
3,1,1,2,1,1,2,2,4,3,IOT
5,5,5,5,5,5,5,5,5,5,AI
5,3,3,4,1,2,2,3,1,3,IP
4,3,2,4,5,5,4,3,4,4,WA
5,4,4,4,4,4,4,3,2,4,Others
5,5,5,4,4,4,3,4,4,4,Cloud
4,2,2,3,3,3,3,3,3,3,WA
3,3,3,3,3,4,2,5,4,3,Cloud
2,2,1,3,2,1,2,3,5,5,MA
3,3,2,3,4,4,4,3,3,3,WA
1,4,3,4,4,4,4,4,4,4,WA
3,4,2,4,4,4,3,3,3,2,WA
5,2,4,3,3,2,3,4,3,3,IOT
2,2,1,2,1,2,2,1,1,1,Others
2,3,3,4,3,2,3,1,3,2,MA
4,3,4,3,4,4,4,5,5,5,Others
4,2,3,3,1,2,3,2,2,4,WA
5,3,3,3,3,3,3,3,3,2,WA
5,4,5,2,2,3,4,5,5,5,Others
4,3,3,2,3,2,4,2,2,4,Cloud
5,5,5,3,2,2,3,5,5,5,IP
5,5,5,5,5,5,5,5,5,5,MA
4,5,4,4,4,5,5,5,5,5,WA
3,3,5,3,3,3,4,4,5,5,WA
4,4,4,4,4,5,4,3,3,3,AI
3,1,4,4,1,4,5,5,5,5,Others
2,4,3,2,3,4,4,3,4,3,IOT
5,5,5,4,5,5,5,5,5,5,Cloud
5,2,4,4,2,2,4,3,3,3,IOT
2,1,3,2,2,2,2,2,2,2,AI
4,2,3,2,4,3,3,2,3,2,Cloud
5,5,5,5,5,5,5,5,5,5,IP
2,3,4,3,3,4,3,1,2,4,Others
2,2,2,3,2,3,3,2,3,3,MA
5,5,5,5,5,5,4,5,5,5,MA
4,2,2,3,3,3,3,4,5,5,Cloud
2,3,3,3,2,3,2,3,2,3,WA
5,5,5,5,5,5,5,5,5,5,MA
2,2,2,3,2,3,2,1,4,3,IOT
5,2,5,3,3,3,4,5,3,3,AI
2,3,5,5,2,5,3,3,3,5,AI
4,4,5,4,5,5,5,5,5,5,AI
5,1,5,5,5,1,2,2,4,4,IOT
2,1,1,2,1,1,2,2,3,3,Others
5,5,4,4,4,4,4,4,4,4,Cloud
5,5,5,5,5,5,5,5,5,5,IOT
3,3,3,3,3,3,3,3,3,3,Cloud
4,3,4,4,4,3,4,3,3,3,WA
1,1,1,1,1,1,1,5,5,5,MA
4,3,4,1,1,2,2,2,4,4,AI
3,2,4,1,2,2,3,3,4,3,IOT
2,3,1,1,2,2,2,1,2,2,AI
4,3,4,5,4,4,4,4,4,5,Cloud
3,2,2,2,3,2,3,2,2,1,Cloud
5,4,5,4,5,3,4,3,3,3,WA
3,4,5,4,3,3,4,3,3,3,WA
1,1,1,2,1,2,1,3,5,4,MA
4,2,1,3,3,3,4,4,3,2,WA
5,2,4,5,4,2,3,4,5,5,WA
5,5,5,4,4,5,5,5,5,5,Cloud
4,5,4,4,4,4,4,4,4,5,MA
5,5,2,5,3,5,4,3,5,2,Cloud
5,2,4,3,1,3,3,4,5,5,AI
3,4,2,3,3,4,5,2,3,4,WA
2,3,2,3,3,3,3,4,4,5,Cloud
3,2,2,2,2,1,2,2,3,3,Others
3,2,3,4,4,5,2,3,3,4,AI
2,1,3,3,2,1,3,2,3,2,AI
4,4,4,5,5,5,5,4,4,4,Others
3,1,5,2,2,1,3,3,3,2,IOT
3,2,3,4,3,3,4,5,5,5,AI
3,2,2,2,3,3,3,3,3,3,WA
3,2,3,2,3,3,3,3,3,3,AI
5,3,2,4,5,5,5,4,5,5,Others
2,2,3,4,3,4,3,3,3,3,WA
2,1,1,2,2,3,2,2,1,2,WA
2,1,1,2,3,2,2,2,3,2,WA
5,5,5,2,1,3,3,5,3,5,MA
2,2,1,3,3,3,1,1,3,2,WA
3,3,2,3,3,3,3,3,3,3,WA
2,1,3,2,3,4,4,2,5,4,AI
3,2,3,3,3,3,3,3,4,4,AI
3,3,4,1,4,3,2,2,3,3,AI
4,3,3,4,4,4,4,3,4,4,AI
4,2,5,4,5,4,4,4,4,4,AI
3,4,2,2,4,4,3,3,4,5,Others
4,2,4,3,4,4,4,4,3,3,WA
3,3,3,3,3,3,3,3,3,3,MA
4,1,4,5,4,3,3,3,3,1,WA
5,4,5,5,5,5,5,5,5,4,WA
2,1,3,1,2,2,2,2,2,2,Others
3,4,5,4,4,4,3,3,4,3,AI
3,3,4,4,5,2,2,3,5,4,WA
2,2,2,5,3,5,3,3,2,1,WA
2,2,2,2,3,3,3,2,3,2,MA
4,3,5,5,4,4,4,4,4,4,AI
3,3,4,4,3,3,4,4,4,3,WA
2,2,2,3,2,2,2,2,3,2,Others
2,4,2,4,2,2,3,3,3,1,WA
3,2,3,3,2,2,3,3,2,2,WA
4,1,1,4,3,3,2,2,3,2,WA
4,1,5,4,2,3,4,4,5,3,WA
3,1,4,4,2,2,2,2,3,2,WA
5,3,4,2,3,4,2,5,3,4,Cloud
2,1,4,2,3,2,3,2,3,1,MA
4,2,3,4,3,3,3,3,3,5,WA
3,2,3,3,2,3,3,2,3,3,WA
3,1,4,3,2,3,4,4,3,3,WA
2,2,4,3,3,3,3,3,3,2,WA
4,4,4,4,3,3,4,4,3,3,WA
2,1,3,2,1,2,2,1,3,3,AI
3,2,2,4,4,4,4,4,3,2,WA
3,3,2,3,4,3,4,4,3,3,AI
2,1,1,1,1,1,2,1,2,2,AI
4,2,4,4,3,3,4,3,2,3,AI
1,1,1,1,1,1,1,1,1,1,Others
4,2,2,3,2,2,4,4,4,4,WA
4,2,2,3,2,2,2,2,2,2,AI
3,1,3,1,1,1,3,3,3,2,AI
4,3,3,2,3,4,3,4,4,4,Cloud
2,1,3,1,1,1,1,1,3,3,IOT
2,1,2,1,1,1,3,2,4,4,Others
2,1,1,2,1,2,1,2,5,3,WA
3,4,1,2,1,2,2,2,4,4,Others
4,1,3,1,3,3,4,3,4,3,AI
3,3,4,3,2,2,3,2,2,2,WA
3,3,1,4,1,2,4,4,4,3,WA
4,1,2,1,1,2,2,1,4,3,WA
3,4,3,3,4,3,3,3,3,3,WA
4,5,4,5,5,5,4,4,4,4,WA
1,1,1,1,1,1,1,1,2,1,AI
4,3,3,3,3,3,3,3,3,3,WA
2,4,2,4,3,2,3,3,3,3,WA
2,2,1,2,2,2,2,2,2,2,WA
4,2,4,4,4,4,3,3,4,3,WA
